image,stimulus,trial_block.thisRepN,trial_block.thisTrialN,trial_block.thisN,trial_block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,welcome_text.started,welcome_text.stopped,instructions_text.started,spacebar_key.started,spacebar_key.keys,spacebar_key.rt,eye_text.started,eye_text.stopped,text.started,text.stopped,closedEyes_text.started,beep.started,closedEyes_text.stopped,trialImage.started,polygon.started,blank_text.started,trialBlockText.started,new_trialblock.started,new_trialblock.keys,new_trialblock.rt,blank_text.stopped,goodbye_text.started,participant,session,age,gender,date,expName,psychopyVersion,frameRate,
Celebs/50_Jackie_Chan_0012.jpg,non_target,3,0,3,0,0,59,59,43,,,,,,,,,,,,,,633.5042560999864,633.5042560999864,634.0028935999726,,,,,,,1,003,21,Deitado,2023-06-17_11h59.25.654,face_recognition_ERP_protocol,2022.2.5,60.09200085778801,
Celebs/42_Will_Smith_0012.jpg,non_target,3,0,3,0,0,60,60,64,,,,,,,,,,,,,,634.5049666999839,634.5049666999839,635.003787499998,,,,,,,1,003,21,Deitado,2023-06-17_11h59.25.654,face_recognition_ERP_protocol,2022.2.5,60.09200085778801,
Celebs/21_Margot_Robbie_0003.jpg,non_target,3,0,3,0,0,61,61,27,,,,,,,,,,,,,,635.5034037999867,635.5034037999867,636.004895799997,,,,,,,1,003,21,Deitado,2023-06-17_11h59.25.654,face_recognition_ERP_protocol,2022.2.5,60.09200085778801,
Celebs/55_Jackie_Chan_0008.jpg,non_target,3,0,3,0,0,62,62,92,,,,,,,,,,,,,,636.506281799986,636.506281799986,637.0058456999832,,,,,,,1,003,21,Deitado,2023-06-17_11h59.25.654,face_recognition_ERP_protocol,2022.2.5,60.09200085778801,
Celebs/21_Daniel_Radcliffe_0002.jpg,target,3,0,3,0,0,63,63,60,,,,,,,,,,,,,,637.5080899999884,637.5080899999884,637.9906039999914,,,,,,,1,003,21,Deitado,2023-06-17_11h59.25.654,face_recognition_ERP_protocol,2022.2.5,60.09200085778801,
Celebs/29_Scarlett_Johansson_0016.jpg,non_target,3,0,3,0,0,64,64,2,,,,,,,,,,,,,,638.4915322999877,638.4915322999877,638.9911411999783,,,,,,,1,003,21,Deitado,2023-06-17_11h59.25.654,face_recognition_ERP_protocol,2022.2.5,60.09200085778801,
Celebs/19_Margot_Robbie_0004.jpg,non_target,3,0,3,0,0,65,65,42,,,,,,,,,,,,,,639.4930519999762,639.4930519999762,639.9928355999873,,,,,,,1,003,21,Deitado,2023-06-17_11h59.25.654,face_recognition_ERP_protocol,2022.2.5,60.09200085778801,
Celebs/35_Neil_Patrick_Harris_0009.jpg,non_target,3,0,3,0,0,66,66,87,,,,,,,,,,,,,,640.4922520999971,640.4922520999971,640.993902599992,,,,,,,1,003,21,Deitado,2023-06-17_11h59.25.654,face_recognition_ERP_protocol,2022.2.5,60.09200085778801,
Celebs/21_Emma_Watson_0004.jpg,non_target,3,0,3,0,0,67,67,21,,,,,,,,,,,,,,641.4938721999933,641.4938721999933,641.994946699997,,,,,,,1,003,21,Deitado,2023-06-17_11h59.25.654,face_recognition_ERP_protocol,2022.2.5,60.09200085778801,
Celebs/16_Emma_Stone_0012.jpg,non_target,3,0,3,0,0,68,68,70,,,,,,,,,,,,,,642.4956700999755,642.4956700999755,642.9960619999911,,,,,,,1,003,21,Deitado,2023-06-17_11h59.25.654,face_recognition_ERP_protocol,2022.2.5,60.09200085778801,
Celebs/57_Jackie_Chan_0010.jpg,non_target,3,0,3,0,0,69,69,62,,,,,,,,,,,,,,643.4960691999877,643.4960691999877,643.9972956999845,,,,,,,1,003,21,Deitado,2023-06-17_11h59.25.654,face_recognition_ERP_protocol,2022.2.5,60.09200085778801,
Celebs/20_Emma_Stone_0005.jpg,non_target,3,0,3,0,0,70,70,63,,,,,,,,,,,,,,644.500031899981,644.500031899981,644.9982998999767,,,,,,,1,003,21,Deitado,2023-06-17_11h59.25.654,face_recognition_ERP_protocol,2022.2.5,60.09200085778801,
Celebs/32_Jim_Parsons_0010.jpg,non_target,3,0,3,0,0,71,71,98,,,,,,,,,,,,,,645.5047543999972,645.5047543999972,645.9993660999753,,,,,,,1,003,21,Deitado,2023-06-17_11h59.25.654,face_recognition_ERP_protocol,2022.2.5,60.09200085778801,
Celebs/15_Margot_Robbie_0005.jpg,non_target,3,0,3,0,0,72,72,80,,,,,,,,,,,,,,646.5008399999933,646.5008399999933,646.9999170999799,,,,,,,1,003,21,Deitado,2023-06-17_11h59.25.654,face_recognition_ERP_protocol,2022.2.5,60.09200085778801,
Celebs/34_Neil_Patrick_Harris_0004.jpg,non_target,3,0,3,0,0,73,73,104,,,,,,,,,,,,,,647.5019715999952,647.5019715999952,648.001371899998,,,,,,,1,003,21,Deitado,2023-06-17_11h59.25.654,face_recognition_ERP_protocol,2022.2.5,60.09200085778801,
Celebs/45_Will_Smith_0010.jpg,non_target,3,0,3,0,0,74,74,69,,,,,,,,,,,,,,648.5234512999887,648.5234512999887,649.0026669999934,,,,,,,1,003,21,Deitado,2023-06-17_11h59.25.654,face_recognition_ERP_protocol,2022.2.5,60.09200085778801,
Celebs/19_Margot_Robbie_0001.jpg,non_target,3,0,3,0,0,75,75,51,,,,,,,,,,,,,,649.5031891999824,649.5031891999824,650.0035738999723,,,,,,,1,003,21,Deitado,2023-06-17_11h59.25.654,face_recognition_ERP_protocol,2022.2.5,60.09200085778801,
Celebs/23_Daniel_Radcliffe_0019.jpg,target,3,0,3,0,0,76,76,6,,,,,,,,,,,,,,650.5055387999746,650.5055387999746,651.0047095999762,,,,,,,1,003,21,Deitado,2023-06-17_11h59.25.654,face_recognition_ERP_protocol,2022.2.5,60.09200085778801,
Celebs/39_Jim_Parsons_0004.jpg,non_target,3,0,3,0,0,77,77,88,,,,,,,,,,,,,,651.5058668999991,651.5058668999991,652.0058286999993,,,,,,,1,003,21,Deitado,2023-06-17_11h59.25.654,face_recognition_ERP_protocol,2022.2.5,60.09200085778801,
Celebs/55_Jackie_Chan_0015.jpg,non_target,3,0,3,0,0,78,78,30,,,,,,,,,,,,,,652.507119499991,652.507119499991,652.9902825999889,,,,,,,1,003,21,Deitado,2023-06-17_11h59.25.654,face_recognition_ERP_protocol,2022.2.5,60.09200085778801,
Celebs/17_Margot_Robbie_0014.jpg,non_target,3,0,3,0,0,79,79,114,,,,,,,,,,,,,,653.4920711999875,653.4920711999875,653.9911169999978,,,,,,,1,003,21,Deitado,2023-06-17_11h59.25.654,face_recognition_ERP_protocol,2022.2.5,60.09200085778801,
Celebs/38_Neil_Patrick_Harris_0006.jpg,non_target,3,0,3,0,0,80,80,31,,,,,,,,,,,,,,654.499284199992,654.499284199992,654.9926250999852,,,,,,,1,003,21,Deitado,2023-06-17_11h59.25.654,face_recognition_ERP_protocol,2022.2.5,60.09200085778801,
Celebs/33_Neil_Patrick_Harris_0011.jpg,non_target,3,0,3,0,0,81,81,112,,,,,,,,,,,,,,655.4947172999964,655.4947172999964,655.9932123999752,,,,,,,1,003,21,Deitado,2023-06-17_11h59.25.654,face_recognition_ERP_protocol,2022.2.5,60.09200085778801,
Celebs/52_Jackie_Chan_0002.jpg,non_target,3,0,3,0,0,82,82,68,,,,,,,,,,,,,,656.4956328999833,656.4956328999833,656.9944662999769,,,,,,,1,003,21,Deitado,2023-06-17_11h59.25.654,face_recognition_ERP_protocol,2022.2.5,60.09200085778801,
Celebs/39_Jim_Parsons_0001.jpg,non_target,3,0,3,0,0,83,83,49,,,,,,,,,,,,,,657.4966635999735,657.4966635999735,657.9959468999878,,,,,,,1,003,21,Deitado,2023-06-17_11h59.25.654,face_recognition_ERP_protocol,2022.2.5,60.09200085778801,
Celebs/39_Jim_Parsons_0008.jpg,non_target,3,0,3,0,0,84,84,89,,,,,,,,,,,,,,658.4974793999863,658.4974793999863,658.9965393999883,,,,,,,1,003,21,Deitado,2023-06-17_11h59.25.654,face_recognition_ERP_protocol,2022.2.5,60.09200085778801,
Celebs/40_Jim_Parsons_0004.jpg,non_target,3,0,3,0,0,85,85,73,,,,,,,,,,,,,,659.4975023999868,659.4975023999868,659.9980150999909,,,,,,,1,003,21,Deitado,2023-06-17_11h59.25.654,face_recognition_ERP_protocol,2022.2.5,60.09200085778801,
Celebs/39_Neil_Patrick_Harris_0010.jpg,non_target,3,0,3,0,0,86,86,94,,,,,,,,,,,,,,660.4995627999888,660.4995627999888,660.9990617999865,,,,,,,1,003,21,Deitado,2023-06-17_11h59.25.654,face_recognition_ERP_protocol,2022.2.5,60.09200085778801,
Celebs/15_Margot_Robbie_0012.jpg,non_target,3,0,3,0,0,87,87,82,,,,,,,,,,,,,,661.5011494999926,661.5011494999926,661.9999819999794,,,,,,,1,003,21,Deitado,2023-06-17_11h59.25.654,face_recognition_ERP_protocol,2022.2.5,60.09200085778801,
Celebs/20_Margot_Robbie_0006.jpg,non_target,3,0,3,0,0,88,88,35,,,,,,,,,,,,,,662.5017650999944,662.5017650999944,663.0012551999826,,,,,,,1,003,21,Deitado,2023-06-17_11h59.25.654,face_recognition_ERP_protocol,2022.2.5,60.09200085778801,
Celebs/22_Margot_Robbie_0010.jpg,non_target,3,0,3,0,0,89,89,18,,,,,,,,,,,,,,663.5022287999745,663.5022287999745,664.0021890999924,,,,,,,1,003,21,Deitado,2023-06-17_11h59.25.654,face_recognition_ERP_protocol,2022.2.5,60.09200085778801,
Celebs/22_Emma_Stone_0013.jpg,non_target,3,0,3,0,0,90,90,1,,,,,,,,,,,,,,664.504297699983,664.504297699983,665.0034401999728,,,,,,,1,003,21,Deitado,2023-06-17_11h59.25.654,face_recognition_ERP_protocol,2022.2.5,60.09200085778801,
Celebs/47_Johnny_Depp_0003.jpg,non_target,3,0,3,0,0,91,91,9,,,,,,,,,,,,,,665.5054203999753,665.5054203999753,666.0041603999853,,,,,,,1,003,21,Deitado,2023-06-17_11h59.25.654,face_recognition_ERP_protocol,2022.2.5,60.09200085778801,
Celebs/24_Daniel_Radcliffe_0017.jpg,target,3,0,3,0,0,92,92,71,,,,,,,,,,,,,,666.5062741999864,666.5062741999864,667.0052355999942,,,,,,,1,003,21,Deitado,2023-06-17_11h59.25.654,face_recognition_ERP_protocol,2022.2.5,60.09200085778801,
Celebs/50_Jackie_Chan_0014.jpg,non_target,3,0,3,0,0,93,93,38,,,,,,,,,,,,,,667.5061944999907,667.5061944999907,667.9900416999881,,,,,,,1,003,21,Deitado,2023-06-17_11h59.25.654,face_recognition_ERP_protocol,2022.2.5,60.09200085778801,
Celebs/25_Scarlett_Johansson_0010.jpg,non_target,3,0,3,0,0,94,94,32,,,,,,,,,,,,,,668.4921388999792,668.4921388999792,668.9910416999774,,,,,,,1,003,21,Deitado,2023-06-17_11h59.25.654,face_recognition_ERP_protocol,2022.2.5,60.09200085778801,
Celebs/54_Jackie_Chan_0014.jpg,non_target,3,0,3,0,0,95,95,111,,,,,,,,,,,,,,669.4921062999929,669.4921062999929,669.9916916999791,,,,,,,1,003,21,Deitado,2023-06-17_11h59.25.654,face_recognition_ERP_protocol,2022.2.5,60.09200085778801,
Celebs/23_Daniel_Radcliffe_0010.jpg,target,3,0,3,0,0,96,96,15,,,,,,,,,,,,,,670.492402599979,670.492402599979,670.9933353999804,,,,,,,1,003,21,Deitado,2023-06-17_11h59.25.654,face_recognition_ERP_protocol,2022.2.5,60.09200085778801,
Celebs/50_Johnny_Depp_0018.jpg,non_target,3,0,3,0,0,97,97,24,,,,,,,,,,,,,,671.4936724999861,671.4936724999861,671.9938813999761,,,,,,,1,003,21,Deitado,2023-06-17_11h59.25.654,face_recognition_ERP_protocol,2022.2.5,60.09200085778801,
Celebs/16_Margot_Robbie_0009.jpg,non_target,3,0,3,0,0,98,98,107,,,,,,,,,,,,,,672.4950484999863,672.4950484999863,672.9954314999923,,,,,,,1,003,21,Deitado,2023-06-17_11h59.25.654,face_recognition_ERP_protocol,2022.2.5,60.09200085778801,
Celebs/18_Daniel_Radcliffe_0002.jpg,target,3,0,3,0,0,99,99,119,,,,,,,,,,,,,,673.4961034999869,673.4961034999869,673.9967132999736,,,,,,,1,003,21,Deitado,2023-06-17_11h59.25.654,face_recognition_ERP_protocol,2022.2.5,60.09200085778801,
Celebs/27_Scarlett_Johansson_0012.jpg,non_target,3,0,3,0,0,100,100,78,,,,,,,,,,,,,,674.4984434999933,674.4984434999933,674.9975658999756,,,,,,,1,003,21,Deitado,2023-06-17_11h59.25.654,face_recognition_ERP_protocol,2022.2.5,60.09200085778801,
Celebs/40_Jim_Parsons_0015.jpg,non_target,3,0,3,0,0,101,101,45,,,,,,,,,,,,,,675.4995528999716,675.4995528999716,675.9988076999725,,,,,,,1,003,21,Deitado,2023-06-17_11h59.25.654,face_recognition_ERP_protocol,2022.2.5,60.09200085778801,
Celebs/18_Emma_Watson_0004.jpg,non_target,3,0,3,0,0,102,102,75,,,,,,,,,,,,,,676.5003946999786,676.5003946999786,676.9995895999891,,,,,,,1,003,21,Deitado,2023-06-17_11h59.25.654,face_recognition_ERP_protocol,2022.2.5,60.09200085778801,
Celebs/24_Emma_Stone_0015.jpg,non_target,3,0,3,0,0,103,103,57,,,,,,,,,,,,,,677.501400899986,677.501400899986,678.0010631999758,,,,,,,1,003,21,Deitado,2023-06-17_11h59.25.654,face_recognition_ERP_protocol,2022.2.5,60.09200085778801,
Celebs/17_Margot_Robbie_0006.jpg,non_target,3,0,3,0,0,104,104,17,,,,,,,,,,,,,,678.5012697999773,678.5012697999773,679.0021985999774,,,,,,,1,003,21,Deitado,2023-06-17_11h59.25.654,face_recognition_ERP_protocol,2022.2.5,60.09200085778801,
