image,stimulus,trial_block.thisRepN,trial_block.thisTrialN,trial_block.thisN,trial_block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,welcome_text.started,instructions_text.started,spacebar_key.started,spacebar_key.keys,spacebar_key.rt,eye_text.started,eye_text.stopped,text.started,text.stopped,closedEyes_text.started,beep.started,closedEyes_text.stopped,trialImage.started,polygon.started,blank_text.started,trialBlockText.started,new_trialblock.started,new_trialblock.keys,new_trialblock.rt,blank_text.stopped,trialImage.stopped,polygon.stopped,goodbye_text.started,participant,session,age,gender,date,expName,psychopyVersion,frameRate,
Celebs/32_Jim_Parsons_0010.jpg,non_target,0,0,0,0,0,36,36,98,,,,,,,,,,,,,161.49162429998978,161.49162429998978,161.97542249999242,,,,,,,,,1,009,21,SentadoSom,2023-06-17_13h21.11.047,face_recognition_ERP_protocol,2022.2.5,59.96548387342429,
Celebs/37_Neil_Patrick_Harris_0014.jpg,non_target,0,0,0,0,0,37,37,37,,,,,,,,,,,,,162.47796059999382,162.47796059999382,162.98048810000182,,,,,,,,,1,009,21,SentadoSom,2023-06-17_13h21.11.047,face_recognition_ERP_protocol,2022.2.5,59.96548387342429,
Celebs/34_Neil_Patrick_Harris_0007.jpg,non_target,0,0,0,0,0,38,38,117,,,,,,,,,,,,,163.49375429999782,163.49375429999782,163.977498799999,,,,,,,,,1,009,21,SentadoSom,2023-06-17_13h21.11.047,face_recognition_ERP_protocol,2022.2.5,59.96548387342429,
Celebs/17_Margot_Robbie_0012.jpg,non_target,0,0,0,0,0,39,39,67,,,,,,,,,,,,,164.47948939999333,164.47948939999333,164.97871180000948,,,,,,,,,1,009,21,SentadoSom,2023-06-17_13h21.11.047,face_recognition_ERP_protocol,2022.2.5,59.96548387342429,
Celebs/20_Margot_Robbie_0004.jpg,non_target,0,0,0,0,0,40,40,116,,,,,,,,,,,,,165.47980609998922,165.47980609998922,165.9797908999899,,,,,,,,,1,009,21,SentadoSom,2023-06-17_13h21.11.047,face_recognition_ERP_protocol,2022.2.5,59.96548387342429,
Celebs/24_Scarlett_Johansson_0001.jpg,non_target,0,0,0,0,0,41,41,10,,,,,,,,,,,,,166.49704529999872,166.49704529999872,166.98092400000314,,,,,,,,,1,009,21,SentadoSom,2023-06-17_13h21.11.047,face_recognition_ERP_protocol,2022.2.5,59.96548387342429,
Celebs/58_Jackie_Chan_0005.jpg,non_target,0,0,0,0,0,42,42,3,,,,,,,,,,,,,167.4833382999932,167.4833382999932,167.9859620000061,,,,,,,,,1,009,21,SentadoSom,2023-06-17_13h21.11.047,face_recognition_ERP_protocol,2022.2.5,59.96548387342429,
Celebs/16_Emma_Stone_0010.jpg,non_target,0,0,0,0,0,43,43,95,,,,,,,,,,,,,168.499153199984,168.499153199984,168.9830932999903,,,,,,,,,1,009,21,SentadoSom,2023-06-17_13h21.11.047,face_recognition_ERP_protocol,2022.2.5,59.96548387342429,
Celebs/44_Will_Smith_0015.jpg,non_target,0,0,0,0,0,44,44,101,,,,,,,,,,,,,169.50036020000698,169.50036020000698,169.9842044999823,,,,,,,,,1,009,21,SentadoSom,2023-06-17_13h21.11.047,face_recognition_ERP_protocol,2022.2.5,59.96548387342429,
Celebs/21_Emma_Stone_0003.jpg,non_target,0,0,0,0,0,45,45,25,,,,,,,,,,,,,170.5013978999923,170.5013978999923,170.98525949998293,,,,,,,,,1,009,21,SentadoSom,2023-06-17_13h21.11.047,face_recognition_ERP_protocol,2022.2.5,59.96548387342429,
Celebs/15_Margot_Robbie_0012.jpg,non_target,0,0,0,0,0,46,46,82,,,,,,,,,,,,,171.50256259998423,171.50256259998423,171.9864460999961,,,,,,,,,1,009,21,SentadoSom,2023-06-17_13h21.11.047,face_recognition_ERP_protocol,2022.2.5,59.96548387342429,
Celebs/22_Scarlett_Johansson_0005.jpg,non_target,0,0,0,0,0,47,47,44,,,,,,,,,,,,,172.48694070000784,172.48694070000784,172.9708156999841,,,,,,,,,1,009,21,SentadoSom,2023-06-17_13h21.11.047,face_recognition_ERP_protocol,2022.2.5,59.96548387342429,
