image,stimulus,trial_block.thisRepN,trial_block.thisTrialN,trial_block.thisN,trial_block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,welcome_text.started,instructions_text.started,spacebar_key.started,spacebar_key.keys,spacebar_key.rt,eye_text.started,text.started,closedEyes_text.started,trialImage.started,polygon.started,blank_text.started,blank_text.stopped,trialBlockText.started,new_trialblock.started,new_trialblock.keys,new_trialblock.rt,participant,session,age,gender,date,expName,psychopyVersion,frameRate,
Celebs/20_Emma_Stone_0005.jpg,non_target,0,0,0,0,0,45,45,62,,,,,,,,,72.9458217000356,72.9458217000356,73.4313202999765,,,,,,000547wwwwwww,001,,,2023-12-10_18h35.48.872,face_recognition_ERP_protocol,2022.2.5,59.89020925510503,
Celebs/23_Daniel_Radcliffe_0002.jpg,target,0,0,0,0,0,46,46,118,,,,,,,,,73.94782480003778,73.94782480003778,74.4323661000235,,,,,,000547wwwwwww,001,,,2023-12-10_18h35.48.872,face_recognition_ERP_protocol,2022.2.5,59.89020925510503,
Celebs/50_Jackie_Chan_0012.jpg,non_target,0,0,0,0,0,47,47,42,,,,,,,,,74.93206240003929,74.93206240003929,75.41647729999386,,,,,,000547wwwwwww,001,,,2023-12-10_18h35.48.872,face_recognition_ERP_protocol,2022.2.5,59.89020925510503,
Celebs/28_Scarlett_Johansson_0005.jpg,non_target,0,0,0,0,0,48,48,49,,,,,,,,,75.93294830003288,75.93294830003288,76.4177143999841,,,,,,000547wwwwwww,001,,,2023-12-10_18h35.48.872,face_recognition_ERP_protocol,2022.2.5,59.89020925510503,
Celebs/32_Jim_Parsons_0018.jpg,non_target,0,0,0,0,0,49,49,45,,,,,,,,,76.93421920004766,76.93421920004766,77.41875640000217,,,,,,000547wwwwwww,001,,,2023-12-10_18h35.48.872,face_recognition_ERP_protocol,2022.2.5,59.89020925510503,
Celebs/55_Jackie_Chan_0015.jpg,non_target,0,0,0,0,0,50,50,29,,,,,,,,,77.9355795000447,77.9355795000447,78.42046249995474,,,,,,000547wwwwwww,001,,,2023-12-10_18h35.48.872,face_recognition_ERP_protocol,2022.2.5,59.89020925510503,
Celebs/17_Margot_Robbie_0014.jpg,non_target,0,0,0,0,0,51,51,112,,,,,,,,,78.93668829998933,78.93668829998933,79.42099570005666,,,,,,000547wwwwwww,001,,,2023-12-10_18h35.48.872,face_recognition_ERP_protocol,2022.2.5,59.89020925510503,
Celebs/16_Margot_Robbie_0009.jpg,non_target,0,0,0,0,0,52,52,105,,,,,,,,,79.94036380003672,79.94036380003672,80.42216379998717,,,,,,000547wwwwwww,001,,,2023-12-10_18h35.48.872,face_recognition_ERP_protocol,2022.2.5,59.89020925510503,
Celebs/14_Emma_Watson_0004.jpg,non_target,0,0,0,0,0,53,53,13,,,,,,,,,80.94041180005297,80.94041180005297,81.42306329996791,,,,,,000547wwwwwww,001,,,2023-12-10_18h35.48.872,face_recognition_ERP_protocol,2022.2.5,59.89020925510503,
Celebs/25_Scarlett_Johansson_0010.jpg,non_target,0,0,0,0,0,54,54,31,,,,,,,,,81.94028840004466,81.94028840004466,82.42411490005907,,,,,,000547wwwwwww,001,,,2023-12-10_18h35.48.872,face_recognition_ERP_protocol,2022.2.5,59.89020925510503,
Celebs/50_Johnny_Depp_0004.jpg,non_target,0,0,0,0,0,55,55,38,,,,,,,,,82.9435202999739,82.9435202999739,83.42514800000936,,,,,,000547wwwwwww,001,,,2023-12-10_18h35.48.872,face_recognition_ERP_protocol,2022.2.5,59.89020925510503,
Celebs/45_Johnny_Depp_0003.jpg,non_target,0,0,0,0,0,56,56,106,,,,,,,,,83.94461440003943,83.94461440003943,84.42636429995764,,,,,,000547wwwwwww,001,,,2023-12-10_18h35.48.872,face_recognition_ERP_protocol,2022.2.5,59.89020925510503,
